,410,435,460,485,510,535,560,585,610,635,660,685,710,735,760,785,810,835,PH,EC,OC,P,K,Ca,Mg,S,Fe,Mn,Cu,Zn,B
33,-1.1812221856571108,-1.0903091497792938,-0.9993961139014771,-0.9084830780236601,-0.8175700421458431,-0.7266570062680334,-0.6346060090637324,-0.9879885710864074,-0.09538676572292276,-0.17472021678447658,0.02870684439508238,0.5133011242543247,0.47916903186318693,0.7591234971034835,1.0390779623437782,1.319032427584073,1.598986892824368,1.878941358064663,5.76,0.04,0.33,21.72,133.87,2.5,1.5,13.24,42.02,12.85,2.17,1.06,1.01
34,-1.2252454443301106,-1.129551922432505,-1.0338584005349,-0.9381648786372945,-0.842471356739689,-0.7467778348420891,-0.6099786805746189,-0.9322791785451243,-0.10691602915029069,-0.1406990014896093,0.06269364023653264,0.5769525431414114,0.5580696396549081,0.8059282200528316,1.0537868004507536,1.301645380848676,1.5495039612465986,1.7973625416445207,4.92,0.1,0.18,10.34,182.55,5.1,2.7,7.45,30.02,4.1,4.05,1.94,1.21
35,-1.4159742585329804,-1.261086316918744,-1.1061983753045073,-0.9513104336902708,-0.7964224920760343,-0.6415345504618044,-0.49377045996267793,-0.8112281885757286,0.010964561371684257,-0.0537466181506052,0.12240185790457185,0.5386295432093174,0.49444111951332426,0.7539497204538468,1.0134583213943686,1.2729669223348907,1.5324755232754128,1.7919841242159347,5.77,0.07,1.14,37.67,206.89,7.3,2.5,16.56,19.74,36.62,2.32,0.77,1.17
36,-1.7620149982496576,-1.5098529332507793,-1.257690868251901,-1.0055288032530225,-0.7533667382541445,-0.501204673255273,-0.22580002317329265,-0.49695268930797293,0.17737270621371146,0.17109747719988364,0.1624462898562845,0.659409054189462,0.5640507231684722,0.761236180536864,0.9584216379052545,1.1556070952736448,1.3527925526420352,1.5499780100104257,7.78,0.46,0.87,58.45,392.4,8.5,3.0,4.73,3.86,14.5,1.2,2.49,0.38
37,-1.9269120256667096,-1.628487148989233,-1.3300622723117563,-1.0316373956342801,-0.7332125189568035,-0.4347876422793303,-0.12014241543591082,-0.2486446856363616,0.2630671126410971,0.2988152869173935,0.3215495699769079,0.6301673614326121,0.5853295170203756,0.7472168284750511,0.9091041399297249,1.070991451384399,1.2328787628390732,1.3947660742937469,5.1,0.06,0.48,75.65,152.4,4.0,3.0,21.3,45.51,16.92,1.23,0.55,0.6
38,-1.4159742585329804,-1.261086316918744,-1.1061983753045073,-0.9513104336902708,-0.7964224920760343,-0.6415345504618044,-0.49377045996267793,-0.8112281885757286,0.010964561371684257,-0.0537466181506052,0.12240185790457185,0.5386295432093174,0.49444111951332426,0.7539497204538468,1.0134583213943686,1.2729669223348907,1.5324755232754128,1.7919841242159347,7.82,0.07,0.42,25.63,545.4,12.5,6.3,23.66,4.39,7.51,2.47,2.27,0.75
39,-1.9797278439940096,-1.6620295468520072,-1.344331249710005,-1.0266329525680031,-0.7089346554260006,-0.39123635828400194,0.030998448503282244,-0.1912359120407586,0.277848213025296,0.24171983581990802,0.23123311437184635,0.6543215900566731,0.5963714942726733,0.749023384370124,0.9016752744675728,1.0543271645650216,1.2069790546624706,1.359630944759919,5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
40,-1.896872089895829,-1.6086190356287515,-1.3203659813616742,-1.032112927094597,-0.7438598728275196,-0.45560681856044627,-0.15017757782346172,-0.32328686741877904,0.27773314709254265,0.2885099831696149,0.30169938244970146,0.6693302480449951,0.6066180135054211,0.7635460354268678,0.9204740573483128,1.0774020792697576,1.2343301011912025,1.3912581231126473,5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
41,-1.428123282147303,-1.2984269465252503,-1.1687306109031972,-1.0390342752811441,-0.9093379396590908,-0.7796416040370424,-0.32963594068250274,-0.5714706533462749,0.05095033855335772,0.05407980056342298,0.10008896683411916,0.5306800122395586,0.5395118752823643,0.7762806007955091,1.0130493263086526,1.249818051821796,1.4865867773349393,1.723355502848083,5.18,0.07,1.58,24.7,109.17,2.0,0.8,12.42,0.71,9.61,3.94,1.47,0.64
42,-1.9798845991088008,-1.6506939540016594,-1.3215033088945183,-0.9923126637873776,-0.6631220186802365,-0.3339313735731012,0.15304619505110517,-0.4643171103382469,0.40562609495417506,0.23924145436788188,0.09456831173188361,0.7107947491925986,0.5502322504226657,0.7169718984593535,0.8837115464960396,1.0504511945327255,1.2171908425694116,1.3839304906060976,7.65,0.14,0.51,24.7,702.24,7.3,2.5,57.93,0.7,1.46,1.17,0.42,1.05
43,0.5589967538380766,0.22823666889121105,-0.10252341605565435,-0.4332835010025198,-0.7640435859493852,-1.0948036708962603,-1.3478216058573977,-1.639035378717071,-0.5993846029712165,-0.6680399225533808,-0.4680179643943932,0.07054440637316943,0.08093232209186556,0.4658377812081088,0.8507432403243504,1.2356486994405917,1.620554158556833,2.0054596176730746,8.18,0.14,0.27,7.53,209.44,10.4,4.0,42.68,1.95,0.72,1.05,0.29,0.69
44,-1.7933257146821342,-1.5357393396171382,-1.2781529645521423,-1.020566589487146,-0.7629802144221502,-0.5053938393571585,-0.1876622119480405,-0.4036023051302786,0.18522063390164206,0.17222920500629002,0.19752822453920232,0.6340035343555697,0.5876381020748523,0.7724789666711444,0.9573198312674355,1.1421606958637265,1.3270015604600176,1.5118424250563087,7.95,0.11,0.21,4.73,258.72,11.7,4.6,82.93,2.51,0.51,0.42,0.13,0.75
45,-1.6386287480475454,-1.4479110735826453,-1.2571933991177449,-1.0664757246528442,-0.8757580501879442,-0.6850403757230485,-0.33492470826211,-0.49564672552924965,0.24871099797520743,0.18945187009442657,0.25330040757773914,0.7004167377537087,0.6872113610671838,0.839640069420448,0.9920687777737106,1.1444974861269732,1.296926194480236,1.4493549028334987,6.31,0.12,0.9,5.61,200.4,13.75,7.0,17.91,29.44,27.23,8.29,0.71,1.02
